SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
BIHAR,1901,51.80,19.60,11.90,1.10,65.60,66.30,245.90,319.40,155.10,8.30,7.30,0.10,952.30,71.40,78.60,786.70,15.60
BIHAR,1902,4.60,0.70,24.30,17.30,66.30,118.20,361.00,225.50,358.70,28.50,1.10,0.00,1206.20,5.20,107.90,1063.40,29.60
BIHAR,1903,5.30,4.70,2.00,4.70,28.20,192.90,115.00,342.60,173.90,147.00,0.10,0.00,1016.30,10.00,34.90,824.40,147.10
BIHAR,1904,6.30,1.70,3.50,5.30,118.70,191.60,394.40,351.30,84.40,98.10,10.60,3.80,1269.50,7.90,127.40,1021.80,112.40
BIHAR,1905,16.00,30.10,32.60,21.40,77.50,50.50,409.10,495.30,353.90,11.60,0.00,0.60,1498.50,46.10,131.40,1308.80,12.20
BIHAR,1906,14.40,56.90,8.60,0.90,44.70,191.30,366.20,430.10,118.70,32.90,0.40,0.00,1265.10,71.30,54.20,1106.20,33.30
BIHAR,1907,1.30,55.20,39.40,27.00,32.90,232.20,282.40,242.20,206.90,4.80,0.00,2.10,1126.40,56.50,99.30,963.80,6.90
BIHAR,1908,14.70,38.60,6.10,2.20,36.70,94.00,202.30,167.30,149.90,25.40,0.00,0.30,737.50,53.30,45.00,613.60,25.60
BIHAR,1909,7.00,6.30,0.00,72.80,25.80,446.00,256.20,352.40,175.40,43.10,0.00,5.60,1390.50,13.30,98.60,1229.90,48.70
BIHAR,1910,2.40,4.80,6.60,5.70,51.50,279.50,365.10,328.80,258.50,73.80,21.70,0.00,1398.50,7.20,63.80,1232.00,95.50
BIHAR,1911,9.40,0.10,28.20,13.10,41.70,312.30,199.00,425.50,279.10,122.80,17.80,0.00,1449.20,9.50,83.00,1216.00,140.70
BIHAR,1912,5.50,8.50,23.90,25.40,62.70,146.80,362.40,302.90,104.70,14.00,72.60,0.00,1129.40,14.00,112.00,916.90,86.60
BIHAR,1913,0.00,38.00,18.10,1.40,106.10,379.90,258.80,363.00,270.30,61.00,0.50,32.80,1529.70,38.00,125.50,1272.00,94.30
BIHAR,1914,0.20,22.70,8.00,29.00,77.00,84.40,269.10,460.40,98.40,10.10,0.00,0.60,1059.80,22.80,114.00,912.30,10.70
BIHAR,1915,8.20,57.10,22.50,6.40,72.50,149.10,321.30,415.00,185.10,75.30,36.70,0.30,1349.40,65.30,101.40,1070.40,112.40
BIHAR,1916,0.60,16.50,0.30,25.30,25.10,270.30,445.60,325.20,265.20,130.10,0.40,0.00,1504.60,17.10,50.70,1306.30,130.60
BIHAR,1917,2.70,19.70,7.90,5.80,103.30,227.80,328.70,249.30,272.10,116.50,0.00,0.20,1334.10,22.40,117.00,1077.90,116.70
BIHAR,1918,0.60,0.10,1.80,29.50,105.40,251.60,240.30,519.20,254.40,8.60,0.10,0.00,1411.70,0.70,136.80,1265.50,8.70
BIHAR,1919,40.20,7.70,3.80,11.60,42.30,195.00,417.80,230.10,244.80,58.60,0.00,0.70,1252.70,47.90,57.60,1087.90,59.40
BIHAR,1920,0.00,19.20,31.00,2.60,28.80,108.90,361.60,228.50,337.60,5.60,0.00,0.00,1123.90,19.30,62.40,1036.60,5.60
BIHAR,1921,26.80,0.60,6.50,21.20,26.30,132.40,303.80,422.00,295.80,37.00,0.00,0.00,1272.20,27.30,54.00,1153.90,37.00
