
timestamp,Temperature,Humidity, Wind_Speed,Wind_Direction
20210324T0000,25.368793,87.0,7.8625183,285.9454
20210324T0100,24.928793,89.0,8.557102,284.62088
20210324T0200,24.558792,91.0,8.557102,284.62088
20210324T0300,24.258793,92.0,8.311245,287.65012
20210324T0400,24.078793,93.0,7.968939,288.43497
20210324T0500,23.938793,93.0,8.089993,290.85446
20210324T0600,23.848793,93.0,7.754637,291.8014
20210324T0700,27.178793,80.0,7.8954163,294.22775
20210324T0800,27.718792,77.0,8.557102,292.24902
20210324T0900,28.338793,75.0,9.227524,290.55603
20210324T1000,28.478792,74.0,9.9571085,282.5288
20210324T1100,28.328793,74.0,10.239453,280.1247
20210324T1200,28.698793,73.0,10.182337,278.1301
20210324T1300,29.168793,72.0,10.1376915,276.1155
20210324T1400,28.498793,74.0,10.105681,274.08563
20210324T1500,28.368793,75.0,9.746631,274.2364
20210324T1600,28.128792,76.0,9.007196,272.29062
20210324T1700,27.778793,79.0,7.928178,272.60257
20210324T1800,26.928793,84.0,6.849467,273.0128
20210324T1900,26.638792,86.0,6.489992,273.17984
20210324T2000,26.248793,88.0,6.8399997,270.0
20210324T2100,26.018793,89.0,6.8399997,270.0
20210324T2200,25.938793,89.0,6.849467,266.9872
20210324T2300,25.848793,89.0,6.5693827,260.5377
20210325T0000,25.788792,89.0,6.638072,257.4712
20210325T0100,25.658792,89.0,6.379216,253.61046
20210325T0200,25.508793,89.0,5.634891,243.43495
20210325T0300,25.488792,89.0,4.39436,235.00798
20210325T0400,25.508793,88.0,3.7064266,209.05461
20210325T0500,25.448793,88.0,2.9024127,172.87498
20210325T0600,25.248793,89.0,4.198285,120.96376
20210325T0700,26.168793,88.0,6.162207,96.70984
20210325T0800,27.768793,80.0,8.28,89.99999
20210325T0900,27.538792,81.0,9.0645685,83.15723
20210325T1000,27.578793,79.0,8.557102,75.37913
20210325T1100,27.658792,79.0,7.10031,59.534447
20210325T1200,27.638792,79.0,5.0911684,44.999985
20210325T1300,27.658792,78.0,2.9024127,7.125
20210325T1400,27.708792,77.0,3.096837,324.46234
20210325T1500,28.228792,76.0,3.8268526,311.1859
20210325T1600,27.968792,77.0,3.6,306.8699
20210325T1700,27.628792,79.0,3.096837,305.5377
20210325T1800,27.258793,81.0,2.5959969,326.30994
20210325T1900,26.598793,86.0,4.8965297,323.97263
20210325T2000,26.308792,86.0,5.8048253,330.25513
20210325T2100,25.908792,87.0,6.439876,333.43497
20210325T2200,25.628792,88.0,5.692099,325.30484
20210325T2300,25.318792,88.0,5.3999996,323.13013
20210326T0000,25.088793,89.0,5.3999996,323.13013
20210326T0100,24.888792,89.0,5.3517847,317.72632
20210326T0200,24.728792,89.0,5.3999996,323.13013
20210326T0300,24.728792,90.0,4.3498964,335.55603
20210326T0400,24.788792,89.0,4.3498964,335.55603
20210326T0500,24.868793,89.0,4.198285,329.03625
20210326T0600,24.958792,89.0,3.096837,324.46234
20210326T0700,25.758793,87.0,3.6,323.13013
20210326T0800,27.098793,83.0,3.8268526,318.8141
20210326T0900,27.578793,79.0,5.4833565,336.8014
20210326T1000,28.048792,75.0,5.8603754,349.38034
20210326T1100,28.638792,72.0,5.937272,345.96375
20210326T1200,29.038792,71.0,6.2145634,349.992
20210326T1300,29.578793,69.0,6.0347,342.646
20210326T1400,29.728792,68.0,5.4833565,336.8014
20210326T1500,29.478792,68.0,5.3517847,317.72632
20210326T1600,29.058792,71.0,4.8433046,311.98724
20210326T1700,28.668793,75.0,3.8939953,303.69006
20210326T1800,27.788792,79.0,2.5959969,303.69006
20210326T1900,27.468792,81.0,2.0991426,300.96378
20210326T2000,27.008793,82.0,3.2399998,360.0
20210326T2100,26.548792,84.0,4.32,360.0
20210326T2200,26.068792,86.0,5.0528407,4.085617
20210326T2300,25.618793,88.0,5.4119864,3.8140564
20210327T0000,25.348793,89.0,4.6938252,355.60132
20210327T0100,25.178793,89.0,5.8048253,352.875
20210327T0200,24.958792,90.0,6.924738,351.02737
20210327T0300,24.898792,90.0,6.5693827,350.5377
20210327T0400,24.898792,90.0,4.452954,345.96375
20210327T0500,24.948793,90.0,4.510787,331.38956
20210327T0600,24.938793,90.0,4.198285,329.03625
20210327T0700,26.878792,84.0,3.7064266,330.94543
20210327T0800,27.838793,78.0,6.696387,36.25383
20210327T0900,27.918793,77.0,6.8777895,42.87889
20210327T1000,28.088793,75.0,6.9153743,38.659805
20210327T1100,28.228792,75.0,8.049845,26.565033
20210327T1200,28.258793,75.0,8.209263,15.255127
20210327T1300,28.768793,73.0,7.5942073,5.440323
20210327T1400,28.468792,74.0,7.92,360.0
20210327T1500,28.588793,74.0,7.928178,357.39746
20210327T1600,28.438793,75.0,7.2805495,351.46924
20210327T1700,28.238792,77.0,6.9899354,348.11133
20210327T1800,27.378792,82.0,6.162207,353.29016
20210327T1900,26.938793,83.0,5.506941,348.69006
20210327T2000,26.388792,85.0,7.729527,332.24146
20210327T2100,26.098793,86.0,7.729527,332.24146
20210327T2200,25.938793,87.0,6.4096174,321.84277
20210327T2300,25.898792,87.0,6.638072,319.3987
20210328T0000,25.588793,88.0,7.42159,320.90616
20210328T0100,25.458792,88.0,7.491114,324.7824
20210328T0200,25.338793,88.0,6.4096174,321.84277
20210328T0300,25.428793,87.0,5.3999996,323.13013
20210328T0400,25.468792,87.0,4.8433046,311.98724
20210328T0500,25.348793,87.0,4.3349743,318.36646
20210328T0600,25.288792,87.0,2.9024127,299.74487
20210328T0700,27.568792,80.0,2.16,270.0
20210328T0800,28.068792,75.0,6.12,241.92752
20210328T0900,28.628792,73.0,6.3690495,227.29062
20210328T1000,29.118793,70.0,5.315336,208.30077
20210328T1100,29.558792,69.0,4.1046314,195.25513
20210328T1200,29.368793,68.0,2.16,180.0
20210328T1300,31.868793,60.0,2.6208394,164.0546
20210328T1400,30.308792,63.0,4.2136917,160.01689
20210328T1500,29.878792,66.0,4.1046314,164.74487
20210328T1600,29.838793,66.0,3.9763298,174.80557
20210328T1700,29.358793,68.0,3.2599385,173.6598
20210328T1800,28.268793,76.0,2.968636,165.96376
20210328T1900,27.828793,77.0,2.2768397,161.56505
20210328T2000,27.518793,78.0,5.3517847,109.653824
20210328T2100,27.148792,79.0,3.319036,77.47118
20210328T2200,26.808792,81.0,3.096837,35.53766
20210328T2300,26.648792,82.0,2.52,360.0
20210329T0000,26.298792,83.0,3.319036,319.3987
20210329T0100,26.158792,84.0,3.0758414,290.55603
20210329T0200,25.968792,85.0,3.2599385,276.34018
20210329T0300,25.848793,85.0,3.671294,281.30994
20210329T0400,25.678793,86.0,4.3349743,274.76364
20210329T0500,25.498793,86.0,3.9763298,264.80557
20210329T0600,25.298792,87.0,3.7585104,253.30075
20210329T0700,27.538792,81.0,2.9024127,240.25513
20210329T0800,28.158792,75.0,1.8,53.130096
20210329T0900,30.308792,65.0,4.1046314,15.255127
20210329T1000,31.788792,59.0,4.3349743,355.23636
20210329T1100,32.758793,56.0,4.379589,350.5377
20210329T1200,31.498793,59.0,5.154415,335.22485
20210329T1300,31.508793,60.0,5.991594,327.26477
20210329T1400,30.868793,63.0,6.9153743,321.3402
20210329T1500,30.408792,65.0,6.9153743,308.65982
20210329T1600,29.808792,68.0,7.2,306.8699
20210329T1700,29.378792,70.0,7.2,306.8699
20210329T1800,28.298792,80.0,6.489992,303.69006
20210329T1900,27.988792,83.0,6.193674,305.5377
20210329T2000,27.678793,82.0,7.6367526,351.8699
20210329T2100,27.428793,81.0,8.089993,339.14557
20210329T2200,27.148792,82.0,6.696387,323.74615
20210329T2300,26.898792,84.0,7.145796,319.08563
20210330T0000,26.238792,85.0,7.928177,309.47247
20210330T0100,25.688793,87.0,8.287822,304.38034
20210330T0200,25.118793,90.0,8.891343,301.7595
20210330T0300,24.708792,91.0,8.854829,296.56506
20210330T0400,24.338793,93.0,8.854829,296.56506
20210330T0500,24.068792,93.0,8.534353,297.64597
20210330T0600,23.908792,93.0,8.854829,296.56506
20210330T0700,27.088793,83.0,8.699793,294.44397
20210330T0800,28.058792,75.0,9.227524,290.55603
20210330T0900,28.688793,72.0,10.483357,285.9454
20210330T1000,29.178793,69.0,8.350138,277.4314
20210330T1100,29.298792,70.0,7.6367526,278.1301
20210330T1200,29.518793,68.0,9.531505,280.88553
20210330T1300,30.028793,67.0,10.1376915,276.1155
20210330T1400,30.028793,66.0,10.495713,275.90616
20210330T1500,29.488792,68.0,10.239453,280.1247
20210330T1600,29.118793,70.0,10.587917,287.8189
20210330T1700,28.828793,72.0,10.483357,285.9454
20210330T1800,27.748793,78.0,9.0,286.2602
20210330T1900,27.078793,82.0,8.427383,289.98312
20210330T2000,26.648792,84.0,1.484318,255.96376
20210330T2100,26.468792,86.0,1.4399999,270.0
20210330T2200,26.438793,86.0,2.1897945,279.46234
20210330T2300,26.478792,85.0,3.5455887,293.9625
20210331T0000,26.318792,86.0,3.4152596,288.43497
20210331T0100,26.198793,87.0,4.198285,300.96378
20210331T0200,25.858793,88.0,5.495161,301.6075
20210331T0300,25.768793,88.0,4.8433046,311.98724
20210331T0400,25.678793,89.0,4.510787,331.38956
20210331T0500,25.728792,88.0,3.5455887,336.0375
20210331T0600,25.678793,89.0,4.198285,329.03625
20210331T0700,27.708792,82.0,5.315336,331.69925
20210331T0800,27.738792,79.0,6.924738,278.97263
20210331T0900,28.408792,75.0,7.2359104,275.7106
20210331T1000,28.738792,74.0,8.209263,285.25513
20210331T1100,28.888792,74.0,9.107359,288.43497
20210331T1200,28.768793,74.0,9.107359,288.43497
20210331T1300,28.768793,74.0,8.891344,291.37064
20210331T1400,28.718792,75.0,9.339208,297.55283
20210331T1500,28.488792,77.0,9.693296,301.3287
20210331T1600,28.188793,79.0,10.009036,307.69424
20210331T1700,27.838793,83.0,9.504272,307.30396
20210331T1800,27.278793,89.0,8.78872,304.99203
20210331T1900,27.088793,90.0,8.891343,301.7595
20210331T2000,26.548792,91.0,9.021574,298.61047
20210331T2100,26.648792,92.0,9.19939,300.57922
20210331T2200,26.468792,93.0,9.387651,302.4712
20210331T2300,26.368793,93.0,9.387651,302.4712
